iteration: 5593
total_loss: 1324.13378906
value_loss: 662.08007812
action_loss: 662.05371094
best_loss: 842.07751465
best_idx: 2592
improvement_counter: 3001
training_reward_count: 5594
training_rewards:
  iteration: 0 | eps_b: 0 | mean_reward: -9.74520588 | std_reward: 9.59436607 | agent_mean_rewards: [-10.192326, -10.682436,  -7.906627, -10.987223,  -8.957417]
  iteration: 1 | eps_b: 0 | mean_reward: -9.43717575 | std_reward: 9.29002666 | agent_mean_rewards: [ -8.398305,  -9.608818,  -9.303703,  -9.148542, -10.726509]
  iteration: 2 | eps_b: 0 | mean_reward: -9.12940121 | std_reward: 9.11691189 | agent_mean_rewards: [-9.656892, -9.263584, -8.520265, -9.296726, -8.909533]
  iteration: 3 | eps_b: 0 | mean_reward: -9.82737446 | std_reward: 10.16629982 | agent_mean_rewards: [-10.90288 ,  -9.315927,  -8.916283, -10.192457,  -9.809326]
  iteration: 4 | eps_b: 0 | mean_reward: -9.30647182 | std_reward: 9.71648312 | agent_mean_rewards: [ -9.610353, -11.091432, -10.105621,  -8.783627,  -6.941323]
  iteration: 5 | eps_b: 0 | mean_reward: -9.25710011 | std_reward: 8.97908688 | agent_mean_rewards: [ -8.686468,  -8.937726,  -9.061958,  -8.948207, -10.651139]
  iteration: 6 | eps_b: 0 | mean_reward: -9.54774952 | std_reward: 9.31722736 | agent_mean_rewards: [ -8.955494, -10.27021 , -10.308503,  -8.966545,  -9.237995]
  iteration: 7 | eps_b: 0 | mean_reward: -9.76413631 | std_reward: 10.01233292 | agent_mean_rewards: [-11.790464,  -8.914786, -10.171798,  -9.112502,  -8.831128]
  iteration: 8 | eps_b: 0 | mean_reward: -9.27490711 | std_reward: 9.63110352 | agent_mean_rewards: [-9.031431, -8.544516, -9.67019 , -9.202521, -9.925877]
  iteration: 9 | eps_b: 0 | mean_reward: -9.42226601 | std_reward: 9.26054096 | agent_mean_rewards: [ -9.567696, -10.231789,  -8.90804 ,  -8.959931,  -9.443876]
  iteration: 10 | eps_b: 0 | mean_reward: -9.90382671 | std_reward: 10.69450378 | agent_mean_rewards: [-10.259029, -10.459901,  -9.934299,  -9.877747,  -8.988157]
  iteration: 11 | eps_b: 0 | mean_reward: -9.44305134 | std_reward: 9.54285336 | agent_mean_rewards: [-9.979437, -9.614653, -9.200642, -9.460619, -8.959906]
  iteration: 12 | eps_b: 0 | mean_reward: -9.62666798 | std_reward: 9.76617146 | agent_mean_rewards: [ -9.263076, -10.843114,  -9.446987, -10.405937,  -8.174224]
  iteration: 13 | eps_b: 0 | mean_reward: -9.05777645 | std_reward: 9.35440445 | agent_mean_rewards: [-9.336003, -9.056792, -9.451526, -9.129587, -8.314975]
  iteration: 14 | eps_b: 0 | mean_reward: -9.26330757 | std_reward: 10.79512596 | agent_mean_rewards: [ -9.889127,  -7.599713,  -9.307028,  -8.893138, -10.627533]
  iteration: 15 | eps_b: 0 | mean_reward: -9.52166462 | std_reward: 9.79588509 | agent_mean_rewards: [ -9.18541 ,  -8.953401,  -9.835828, -10.084348,  -9.549335]
  iteration: 16 | eps_b: 0 | mean_reward: -9.76090145 | std_reward: 9.16329670 | agent_mean_rewards: [ -8.652223, -10.791689,  -9.597707,  -9.37345 , -10.389441]
  iteration: 17 | eps_b: 0 | mean_reward: -9.51061916 | std_reward: 9.80317974 | agent_mean_rewards: [-10.55929 ,  -9.974733,  -8.148371,  -8.524078, -10.346622]
  iteration: 18 | eps_b: 0 | mean_reward: -8.81536865 | std_reward: 8.74607658 | agent_mean_rewards: [ -7.830095,  -8.664316,  -8.72631 , -10.860695,  -7.995427]
  iteration: 19 | eps_b: 0 | mean_reward: -9.34933376 | std_reward: 9.41550064 | agent_mean_rewards: [-10.620759,  -8.269867, -11.905293,  -8.525231,  -7.425522]
  iteration: 20 | eps_b: 0 | mean_reward: -9.74683571 | std_reward: 9.54384995 | agent_mean_rewards: [ -8.565497,  -8.160253,  -9.546385, -11.443303, -11.01874 ]
  iteration: 21 | eps_b: 0 | mean_reward: -9.51136780 | std_reward: 10.71922302 | agent_mean_rewards: [ -8.386665, -11.302404,  -8.838193,  -9.764116,  -9.265457]
  iteration: 22 | eps_b: 0 | mean_reward: -9.73369026 | std_reward: 10.41654301 | agent_mean_rewards: [-10.020988,  -8.858457,  -9.924723, -10.392838,  -9.471445]
  iteration: 23 | eps_b: 0 | mean_reward: -9.78102493 | std_reward: 10.14908600 | agent_mean_rewards: [-10.099003,  -9.390381,  -9.907969, -10.092472,  -9.4153  ]
  iteration: 24 | eps_b: 0 | mean_reward: -9.36982250 | std_reward: 9.63320160 | agent_mean_rewards: [ -8.750153,  -9.635387,  -8.709684,  -9.398081, -10.355804]
  iteration: 25 | eps_b: 0 | mean_reward: -8.79711628 | std_reward: 9.10195637 | agent_mean_rewards: [-9.518781, -8.990016, -9.029299, -8.401899, -8.045584]
  iteration: 26 | eps_b: 0 | mean_reward: -9.25520706 | std_reward: 8.75893497 | agent_mean_rewards: [ -8.744553, -10.486719,  -8.203127, -10.435401,  -8.406235]
  iteration: 27 | eps_b: 0 | mean_reward: -9.16114044 | std_reward: 9.64183331 | agent_mean_rewards: [-9.869297, -8.545265, -9.538445, -8.866366, -8.986334]
  iteration: 28 | eps_b: 0 | mean_reward: -8.81343842 | std_reward: 7.99929142 | agent_mean_rewards: [-8.975733, -7.750966, -9.319322, -8.879955, -9.141218]
  iteration: 29 | eps_b: 0 | mean_reward: -9.00116253 | std_reward: 9.08063221 | agent_mean_rewards: [-9.512244, -9.283648, -8.069384, -9.202567, -8.937972]
  iteration: 30 | eps_b: 0 | mean_reward: -9.00182819 | std_reward: 9.21765137 | agent_mean_rewards: [-8.774793, -8.940763, -9.033233, -8.988198, -9.272156]
  iteration: 31 | eps_b: 0 | mean_reward: -9.57342434 | std_reward: 9.39443588 | agent_mean_rewards: [ -8.842921,  -9.177849,  -9.698467,  -9.642592, -10.505286]
  iteration: 32 | eps_b: 0 | mean_reward: -9.39229774 | std_reward: 10.15196896 | agent_mean_rewards: [ -7.726636,  -9.438957,  -9.839674, -10.63549 ,  -9.320732]
  iteration: 33 | eps_b: 0 | mean_reward: -9.41972351 | std_reward: 8.99723244 | agent_mean_rewards: [-10.909699,  -8.826547,  -8.744533,  -8.714381,  -9.903454]
  iteration: 34 | eps_b: 0 | mean_reward: -9.54371834 | std_reward: 10.45159245 | agent_mean_rewards: [ -9.75878 , -10.182738,  -8.239141,  -9.619099,  -9.918834]
  iteration: 35 | eps_b: 0 | mean_reward: -9.14713001 | std_reward: 8.96187401 | agent_mean_rewards: [ -9.644407, -10.18012 ,  -7.967712,  -9.300324,  -8.643087]
  iteration: 36 | eps_b: 0 | mean_reward: -9.93489361 | std_reward: 9.85744762 | agent_mean_rewards: [-10.103416, -10.601757,  -9.197096, -10.750587,  -9.021608]
  iteration: 37 | eps_b: 0 | mean_reward: -8.76741505 | std_reward: 8.11612511 | agent_mean_rewards: [-8.15575 , -9.798426, -8.611012, -8.094082, -9.177809]
  iteration: 38 | eps_b: 0 | mean_reward: -9.09966183 | std_reward: 9.76685619 | agent_mean_rewards: [ -8.917561,  -8.674482,  -9.529217,  -7.723102, -10.653947]
  iteration: 39 | eps_b: 0 | mean_reward: -9.80041695 | std_reward: 10.04013062 | agent_mean_rewards: [ -8.889447, -10.952814, -10.143955, -11.117542,  -7.89832 ]
